,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,Expected Price ($1k),Year
17499,1,1,151,0,14,21.0,2018
17503,0,2,17,0,32,43.0,2021
17517,0,1,47,0,45,28.1,2019
17534,1,1,208,69900,13,30.0,2014
17537,1,1,210,0,24,65.0,2016
17539,0,1,31,0,38,37.3,2022
17545,0,1,53,0,13,20.004,2017
17548,0,2,29,35390,25,22.0,2019
17552,1,1,238,0,33,20.0,2017
17555,1,1,76,0,5,6.9,2013
17563,0,2,16,52650,36,37.0,2018
17565,0,1,30,0,17,63.4,2022
17572,0,2,26,0,10,21.3,2018
17589,1,0,0,0,43,82.7,2022
17599,0,2,13,0,5,30.152,2016
17600,1,1,81,0,44,27.0,2017
17606,0,2,27,34600,8,16.365,2016
17616,1,1,215,0,32,40.0,2020
17632,0,2,14,0,43,36.98,2017
17633,0,1,47,0,9,28.1,2019
17637,0,2,19,0,33,17.0,2014
17638,1,1,84,0,30,19.0,2016
17649,1,1,110,0,5,20.0,2021
17650,0,2,6,0,38,13.3,2013
17655,0,2,26,28500,39,22.0,2019
17656,0,1,32,0,36,29.49,2022
17671,1,0,0,0,30,27.4,2022
17672,1,1,210,0,25,60.0,2017
17681,0,1,35,0,2,7.0,2011
17682,1,1,208,69900,13,33.89,2013
17688,1,1,87,0,22,8.9,2014
17699,0,2,6,0,15,16.557,2015
17722,1,1,149,0,39,40.0,2020
17736,0,2,14,43700,46,32.0,2016
17741,0,2,26,0,24,21.258,2019
17769,0,1,53,0,4,21.998,2018
17772,1,0,0,0,35,36.5,2021
17780,0,2,21,0,19,18.058,2017
17794,0,2,17,52900,37,20.5,2019
17806,1,1,203,0,43,98.4,2021
17814,0,2,19,0,1,17.0,2015
17821,0,2,9,0,20,32.4,2018
17825,0,2,25,0,32,40.0,2020
17837,0,2,20,0,49,46.5,2020
17840,0,2,16,0,23,39.0,2018
17842,1,0,0,0,24,33.5,2022
17846,1,1,308,0,40,50.0,2020
17856,0,1,53,0,39,18.374,2016
17857,1,1,125,0,3,20.031,2018
17871,0,2,25,0,27,40.0,2020
17884,0,2,17,0,49,29.5,2021
17902,1,1,81,0,9,16.0,2014
17906,1,0,0,0,31,31.67,2021
17907,0,1,32,0,48,29.49,2022
17920,0,2,18,0,45,28.4,2021
17931,0,1,53,0,22,18.374,2016
17932,0,2,21,0,25,40.0,2021
17935,0,1,37,0,42,21.9,2014
17940,0,2,12,36800,22,22.0,2018
17943,1,1,238,0,38,20.0,2017
17946,0,2,17,0,40,25.0,2020
17948,1,1,215,0,36,40.0,2020
17962,0,2,22,0,7,43.912,2020
17966,0,1,32,39995,37,38.0,2019
17968,0,2,26,0,43,21.3,2018
17974,1,1,81,0,45,27.0,2017
17976,0,1,38,0,7,33.9,2013
17984,0,2,14,0,48,67.0,2014
17985,1,1,293,0,17,102.0,2020
17986,1,1,84,0,28,19.0,2014
17994,0,2,27,0,44,24.0,2017
17998,1,0,0,0,36,24.0,2019
18007,0,2,25,0,13,40.0,2021
18012,0,2,21,0,21,19.0,2018
18033,0,1,38,0,29,26.0,2021
18034,1,1,289,0,28,85.0,2019
18069,0,2,17,0,22,40.9,2020
18072,1,1,208,69900,9,33.89,2013
18076,0,2,14,0,32,75.0,2016
18084,1,1,82,0,21,12.0,2014
18090,1,0,0,0,7,42.8,2021
18105,1,0,0,0,8,136.8,2022
18122,0,1,32,0,9,37.413,2020
18171,0,2,14,0,33,45.7,2017
18173,1,0,0,0,39,20.6,2022
18179,1,1,220,0,34,35.0,2017
18190,1,0,0,0,18,69.9,2022
18197,0,2,6,0,36,16.557,2015
18210,0,2,17,0,44,43.0,2021
18217,0,2,22,0,1,25.0,2018
18221,0,2,16,0,11,25.0,2017
18223,1,1,76,0,46,15.6,2015
18224,1,1,308,0,13,50.0,2020
18236,1,1,82,0,17,13.9,2016
18242,1,1,93,32250,21,15.2,2017
18266,1,1,83,0,49,13.115,2016
18288,1,0,0,0,49,32.3,2022
18292,1,1,200,0,19,65.0,2017
18293,0,2,21,0,41,58.0,2020
18303,1,1,234,0,40,52.9,2019
18317,1,0,0,0,37,38.5,2021
18324,0,1,35,0,44,16.0,2012
18329,0,1,38,0,4,18.5,2015
18331,0,1,38,0,32,18.5,2015
18334,1,1,68,0,33,11.75,2015
18336,1,1,93,31950,22,20.0,2016
18361,1,1,81,0,33,16.0,2014
18363,0,2,25,0,36,30.0,2018
18373,0,1,30,0,16,70.0,2021
18383,0,1,53,0,2,18.374,2016
18414,0,2,18,0,36,28.4,2021
18415,0,2,12,36900,22,23.0,2019
18418,0,2,17,52900,43,20.5,2019
18436,1,1,308,0,28,50.0,2020
18450,0,2,25,0,27,40.0,2021
18455,0,2,26,0,18,21.3,2018
18458,1,1,149,0,47,40.0,2020
18459,1,0,0,0,12,60.2,2022
18461,0,2,26,0,12,21.3,2018
18485,0,2,10,0,28,34.5,2019
18496,0,1,35,0,33,7.0,2011
18501,1,0,0,0,46,103.4,2022
18508,1,1,76,0,46,19.0,2016
18512,0,2,27,0,48,24.0,2017
18514,0,2,6,0,5,13.3,2013
18530,0,2,14,0,29,44.0,2015
18539,1,0,0,0,40,27.4,2022
18553,1,1,83,0,32,20.0,2015
18571,0,1,31,0,18,37.3,2022
18587,1,1,258,0,43,27.0,2020
18589,1,0,0,0,34,136.8,2022
18590,0,1,47,0,17,24.283,2018
18605,0,1,72,0,34,19.0,2016
18608,1,0,0,0,47,114.99,2022
18619,0,2,10,0,30,34.5,2019
18621,1,0,0,0,44,35.9,2022
18628,1,1,83,0,21,13.115,2016
18638,0,1,35,0,14,16.0,2012
18639,0,1,32,0,25,37.413,2020
18646,1,0,0,0,6,27.4,2022
18654,0,2,17,52900,23,37.0,2018
18658,0,1,53,0,18,18.374,2016
18659,0,2,14,0,35,46.745,2017
18660,1,1,208,69900,24,30.0,2014
18667,0,2,26,0,35,24.69,2022
18677,0,2,10,0,44,34.5,2019
18681,1,1,87,0,36,8.9,2014
18703,1,1,239,0,27,33.0,2020
18710,1,1,58,0,45,16.999,2018
18720,0,2,25,0,28,30.0,2018
18727,0,2,16,0,21,25.0,2017
18741,0,2,22,0,9,25.0,2018
18746,0,2,29,0,22,20.998,2017
18767,1,1,125,0,44,32.0,2017
18780,0,2,12,0,43,55.0,2017
18790,1,1,337,0,34,105.0,2020
18792,1,0,0,0,42,51.573,2021
18794,0,2,17,0,47,40.9,2020
18797,1,1,210,0,31,65.0,2016
18809,1,1,258,0,22,24.0,2019
18812,1,1,249,0,42,69.0,2018
18814,1,1,82,0,38,13.9,2016
18828,0,1,30,0,20,63.4,2022
18846,0,2,21,0,31,18.058,2017
18849,1,1,153,0,26,42.0,2020
18857,1,1,266,0,20,50.0,2020
18862,1,1,238,0,11,22.857,2018
18873,0,2,26,0,5,21.3,2018
18877,1,1,114,0,34,25.004,2018
18896,0,2,17,0,28,43.0,2021
18902,1,1,87,0,48,10.042,2015
18909,0,2,14,0,48,45.0,2016
18924,0,2,29,0,28,20.004,2018
18944,0,2,22,0,10,26.0,2020
18950,0,1,97,0,45,25.004,2018
18967,0,2,19,0,19,20.0,2013
18971,1,1,210,0,4,60.0,2017
18977,1,1,210,0,47,60.0,2017
18986,1,1,125,0,25,22.2,2019
18996,0,2,26,0,29,21.258,2019
19012,0,1,47,0,40,28.1,2019
19023,1,1,203,0,5,98.4,2021
19031,0,2,13,0,44,68.0,2019
19032,1,0,0,0,24,39.9,2021
19037,1,1,234,0,42,69.2,2020
19038,1,0,0,0,14,64.0,2022
19073,1,1,76,0,28,9.079,2014
19079,0,2,17,0,43,40.9,2020
19088,0,1,47,0,46,30.8,2020
19092,0,1,97,0,1,25.004,2018
19099,1,1,149,0,33,40.0,2020
19106,0,2,14,0,43,38.0,2016
19113,0,2,14,0,33,45.0,2016
19115,0,2,26,28500,48,22.0,2019
19139,1,1,238,0,49,22.857,2018
19145,0,2,21,0,13,19.0,2018
19154,0,1,97,0,28,27.0,2017
19160,0,2,19,0,25,15.0,2014
19170,0,2,21,0,43,51.57,2021
19186,1,1,266,0,15,50.0,2020
19204,0,2,21,0,45,51.57,2021
19219,0,2,6,0,47,16.557,2015
19231,1,1,270,0,47,82.5,2019
19240,1,1,84,0,26,19.0,2016
19242,0,1,72,0,20,16.0,2014
19244,0,2,14,184400,41,80.0,2018
19247,1,1,258,0,36,24.0,2019
19252,1,1,82,0,45,12.0,2014
